Transaction_ID,Invoice_Date,Product_Name,Product_Category,Sales_Region,Base_Price,Units_Ordered,Discount_Percentage,Tax_Amount,Total_Invoice_USD,Payment_Method,Customer_Segment,Fulfillment_Status,Customer_Rating
TXN-2024-10001,2024-02-07,lg oled 65,Displays,S. America,1699.00,20,0.15,$135.92,"$28,883.00",ACH Transfer,Small Business,Delivered,4.0
TXN-2024-10002,2024.06.23,DELL XPS 15,Computers,Asia Pacific,"$1,900",194,25%,N/A,$276377.25,Credit Card,Government,Cancelled,3.5
TXN-2024-10003,07/26/2024,LOGITECH MX MASTER,Accessories,APAC,$99,20,0.05,N/A,"$1,881.00",Credit Card,Mid-Market,Delivered,1.0
TXN-2024-10004,2024.04.09,sony wh-1000xm5,Audio,middle east,399.99 USD,8,25%,$32.00,"$2,399.94",Purchase Order,Enterprise,Cancelled,3.0
TXN-2024-10005,05/16/2024,"MACBOOK PRO 16""",Computers,MENA,"$2,499",23,10%,$199.92,"₹4,293,532",Corporate Wire,Direct Consumer,In Transit,3.5
TXN-2024-10006,09/28/2024,IPHONE 15 PRO,Electronics,middle east,$999,18,10%,$79.92,"16,183.80",Corporate Wire,Government,Delivered,3.5
TXN-2024-10007,07 Aug 2024,Sony Headphones XM5,Audio,Middle East,"₹33,199",24,0.05,N/A,"$9,119.77",Purchase Order,Mid-Market,In Transit,3.0
TXN-2024-10008,09/08/2024,macbook pro 16-inch,Computers,LATAM,"€2,299.08",23,30%,$199.92,"40,233.90",Corporate Wire,Mid-Market,Pending Approval,4.8
TXN-2024-10009,08/11/2024,AppleWatchUltra2,Wearables,EU-West,799.00,12,0.20,$63.92,$7670.40,Credit Card,Small Business,Delivered,4.5
TXN-2024-10010,2024.11.10,dell xps 15,computers,North America,"$1,900",462,0.00,$151.96,$877569.00,Credit Card,Small Business,Cancelled,2.0
TXN-2024-10011,2024/05/27,Bose QuietComfort 45,Audio,Middle East,$329,9,0%,$26.32,$2961.00,Corporate Wire,Mid-Market,Refunded,5.0
TXN-2024-10012,2024-11-26,Dell XPS 15,Computers,EU-West,"$1,900",21,0.30,$151.96,"$27,922.65",Purchase Order,Mid-Market,Cancelled,1.0
TXN-2024-10013,2024.05.21,Galaxy S24 Ultra,Electronics,APAC,1299.00 USD,4,0%,$103.92,"₹431,268",Purchase Order,Enterprise,Refunded,3.0
TXN-2024-10014,04-04-2024,bose quietcomfort 45,Audio,middle east,329.00 USD,14,15%,$26.32,"$3,915.10",Corporate Wire,Mid-Market,Refunded,3.0
TXN-2024-10015,11 May 2024,APPLE WATCH ULTRA 2,Wearables,europe west,$799.00,2,25%,,"1,198.50",Corporate Wire,Government,Pending Approval,3.0
TXN-2024-10016,09/06/2024,Samsung Galaxy S24 Ultra,Electronics,Mid East,1299.00 USD,5,0.15,$103.92,"₹458,222",PayPal,Small Business,Cancelled,1.0
TXN-2024-10017,15-11-2024,macbook pro 16,computers,Latin America,"$2,499",9,15%,$199.92,$19117.35,Credit Card,Mid-Market,Refunded,3.0
TXN-2024-10018,25 Feb 2024,"iPad Pro 12.9""",TABLETS,NORTH AMERICA,"$1,099",17,30%,$87.92,"$13,078.10",Cryptocurrency,Government,Cancelled,Pending
TXN-2024-10019,2024.03.06,"MACBOOK PRO 16""",Computers,North America,"₹207,417",1,20%,$199.92,$1999.20,PayPal,Direct Consumer,Delivered,1.0
TXN-2024-10020,2024/11/16,apple watch ultra 2,Wearables,APAC,$799,21,5%,$63.92,"15,940.05",Credit Card,Mid-Market,Processing,4.8
TXN-2024-10021,2024-11-26,bose quietcomfort 45,Audio,NORTH AMERICA,€302.68,,0%,$26.32,$329.00,ACH Transfer,Direct Consumer,Processing,4.0
TXN-2024-10022,08/18/2024,SONY WH1000XM5,Audio,latin america,$400,6,25%,$32.00,$1799.95,Cryptocurrency,Small Business,Refunded,4.0
TXN-2024-10023,2024.09.17,SAMSUNG GALAXY S24 ULTRA,Electronics,asia pacific,"$1,299",16,10%,$103.92,"18,705.60",PayPal,Government,Delivered,3.0
TXN-2024-10024,23 Apr 2024,"IPAD PRO 12.9""",Tablets,NORTH AMERICA,1099.00,25,0.05,$87.92,$26101.25,Corporate Wire,Small Business,Processing,3.5
TXN-2024-10025,2024/05/09,IPHONE 15 PRO,Electronics,EU-West,€919.08,23,20%,$79.92,$18381.60,Corporate Wire,Government,Delivered,1.0
TXN-2024-10026,2024/09/17,ipad pro 12.9,TABLETS,EU-West,"$1,099.00",20,0.20,$87.92,$17584.00,Purchase Order,Mid-Market,Pending Approval,5.0
TXN-2024-10027,12-12-2024,Sony WH-1000XM5,Audio,MENA,$399.99,243,20%,$32.00,"(77,758.06)",Cryptocurrency,Mid-Market,In Transit,Pending
TXN-2024-10028,2024/06/01,ipad pro 12.9,Tablets,middle east,"€1,011.08",16,0%,$87.92,"$17,584.00",Purchase Order,Mid-Market,Delivered,2.0
TXN-2024-10029,2024.12.24,AppleWatchUltra2,Wearables,S. America,799.00 USD,23,30%,$63.92,$12863.90,Credit Card,Mid-Market,Cancelled,2.0
TXN-2024-10030,2024-04-06,samsung galaxy s24 ultra,Electronics,S. America,"$1,299",17,0%,$103.92,"$22,083.00",Cryptocurrency,Small Business,Refunded,3.0
TXN-2024-10031,2024-06-25,macbook pro 16,Computers,middle east,"$2,499.00",17,10%,$199.92,"38,234.70",Purchase Order,Direct Consumer,Processing,Pending
TXN-2024-10032,2024-07-03,Sony WH-1000XM5,Audio,Middle East,399.99 USD,23,0.05,$32.00,"₹725,402",ACH Transfer,Mid-Market,Processing,1.0
TXN-2024-10033,2024/11/02,Apple Watch Ultra 2,wearables,NORTH AMERICA,799.00 USD,8,15%,,$5433.20,Credit Card,Enterprise,Refunded,5.0
TXN-2024-10034,05 Feb 2024,"MacBook Pro 16""",Computers,N. America,2499.00,4,20%,$199.92,$7996.80,Corporate Wire,Small Business,Pending Approval,2.0
TXN-2024-10035,2024-09-14,"MacBook Pro 16""",Computers,Mid East,"₹207,417",17,15%,$199.92,"(36,110.55)",Credit Card,Small Business,Delivered,4.5
TXN-2024-10036,2024/06/21,Logitech MX Master 3S,Accessories,Europe-W,99.00,14,30%,$7.92,$970.20,Credit Card,Mid-Market,Pending Approval,
TXN-2024-10037,2024-07-22,LG OLED 65 TV,Displays,Middle East,"$1,699.00",12,5%,$135.92,"$19,368.60",Credit Card,Government,In Transit,2.0
TXN-2024-10038,26-09-2024,"MacBook Pro 16""",Computers,Europe West,"€2,299.08",10,0%,$199.92,$24990.00,ACH Transfer,Mid-Market,Pending Approval,
TXN-2024-10039,2024.07.19,sony wh-1000xm5,Audio,MENA,399.99 USD,21,0%,$32.00,$8399.79,Credit Card,Enterprise,Refunded,2.0
TXN-2024-10040,2024/02/11,Samsung Galaxy S24 Ultra,ELECTRONICS,Europe-W,1299.00,8,0.10,$103.92,"₹776,282",Corporate Wire,Small Business,Processing,3.5
TXN-2024-10041,16 Sep 2024,"IPAD PRO 12.9""",Tablets,Asia-Pac,"$1,099.00",19,25%,$87.92,$15660.75,ACH Transfer,Direct Consumer,Cancelled,4.5
TXN-2024-10042,26 Jul 2024,iPhone 15 pro,Electronics,europe west,$999,14,0.05,$79.92,$13286.70,Credit Card,Government,Cancelled,2.0
TXN-2024-10043,2024-10-19,logitech mx master 3s,Accessories,Europe West,"₹8,217",9,30%,$7.92,(623.70),null,Small Business,In Transit,5.0
TXN-2024-10044,18-05-2024,Sony Headphones XM5,Audio,N. America,$399.99,17,25%,$32.00,$5099.87,Credit Card,Government,Refunded,4.5
TXN-2024-10045,2024-02-26,AppleWatchUltra2,Wearables,Middle East,$799.00,8,0.30,$63.92,$4474.40,ACH Transfer,Enterprise,Cancelled,5.0
TXN-2024-10046,18-10-2024,SAMSUNG GALAXY S24 ULTRA,Electronics,north america,"$1,299.00",7,30%,$103.92,$6365.10,PayPal,Mid-Market,In Transit,3.0
TXN-2024-10047,26 Jun 2024,iPhone 15 Pro,electronics,NORTH AMERICA,999.00,13,0.05,$79.92,$12337.65,Corporate Wire,Government,Delivered,4.0
TXN-2024-10048,06 Dec 2024,LOGITECH MX MASTER,Accessories,ASIA PACIFIC,$99.00,5,20%,$7.92,$396.00,Purchase Order,Mid-Market,Processing,1.0
TXN-2024-10049,2024-01-25,logitech mx master 3s,ACCESSORIES,Asia-Pac,$99.00,2,0.05,N/A,$188.10,null,Small Business,In Transit,4.8
