Order_Date,Product,Region,Revenue,Units_Sold,Customer_Type
2024-01-01,iPhone 15,North,"$1,200",2.0,Retail
2024-01-02,iphone 15,North,"$1,200",2.0,Retail
2024-01-03,IPHONE 15,North,"₹1,00,000",2.0,Retail
01/04/2024,MacBook Pro,West,"$2,499",1.0,Corporate
2024-01-05,MacBook Pro,West,"$2,499",1.0,Corporate
2024-01-06,iPad Air,South,650,,Retail
2024-01-07,ipad air,South,$650,3.0,Retail
01-08-2024,Apple Watch,East,$399,4.0,Online
2024-01-09,Apple Watch,East,399.00,4.0,Online
2024-01-10,AirPods Pro,North,$249,10.0,Retail
2024-01-11,iPhone 15,East,"$2,400",4.0,Retail
2024-01-12,MacBook Pro,North,"$7,497",3.0,Corporate
2024-01-13,iPad Air,West,"$1,300",2.0,Retail
2024-01-14,AirPods Pro,South,$498,2.0,Online
2024-01-15,iPhone 15,West,"$85,000",50.0,Corporate
2024-01-16,iPhone 15,North,"$1,200",2.0,Retail
2024-01-16,iPhone 15,North,"$1,200",2.0,Retail
